,masterIncidentNumber,responseDate,reason,problem,callDisposition,citationIssued,personSearch,vehicleSearch,preRace,race,gender,lat,long,x,y,policePrecinct,neighborhood,lastUpdateDate
106757,18-406780,2018/12/12 21:48:47+00,Moving Violation,Suspicious Vehicle (P),TAG-Tagged,YES,NO,YES,Unknown,Black,Male,45.01316,-93.27173,-10382961.74,5623594.11,2,Bottineau,2018/12/13 08:20:38+00
106758,18-406794,2018/12/12 22:10:53+00,,Suspicious Person (P),CNL-Cancel,,,,,,,44.98090212,-93.24004375,-10379434.19,5618515.417,2,Marcy Holmes,2018/12/13 08:20:37+00
106759,18-406797,2018/12/12 22:12:06+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,White,Male,44.96180795,-93.28800649,-10384773.38,5615510.931,5,Lowry Hill East,2018/12/13 08:20:40+00
106760,18-406801,2018/12/12 22:16:11+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Unknown,Unknown,45.03334,-93.29705,-10385779.88,5626771.747,4,Webber - Camden,2018/12/13 08:20:38+00
106761,18-406803,2018/12/12 22:18:59+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,White,Female,44.96269,-93.27402,-10383216.7,5615650.047,5,Whittier,2018/12/13 08:20:38+00
106762,18-406808,2018/12/12 22:23:10+00,,Suspicious Person (P),GOA-Gone on Arrival,,,,,,,44.98773916,-93.25710591,-10381333.54,5619591.474,2,Nicollet Island - East Bank,2018/12/13 08:20:37+00
106763,18-406810,2018/12/12 22:25:06+00,Citizen / 9-1-1,Suspicious Vehicle (P),ADV-Advised,NO,NO,NO,Unknown,Unknown,Unknown,44.9564296,-93.2812965,-10384026.43,5614664.825,5,Whittier,2018/12/13 08:20:37+00
106764,18-406837,2018/12/12 23:07:17+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Black,Male,44.95284304,-93.28806046,-10384779.39,5614100.641,5,Whittier,2018/12/13 08:20:40+00
106765,18-406843,2018/12/12 23:15:30+00,,Suspicious Vehicle (P),,,,,,,,44.93678949,-93.28692331,-10384652.8,5611575.768,5,King Field,2018/12/13 08:20:37+00
106766,18-406846,2018/12/12 23:16:58+00,Citizen / 9-1-1,Suspicious Person (P),GOA-Gone on Arrival,NO,NO,NO,Unknown,Unknown,Unknown,44.98899823,-93.24093189,-10379533.06,5619789.649,2,Marcy Holmes,2018/12/13 08:20:37+00
