,masterIncidentNumber,responseDate,reason,problem,callDisposition,citationIssued,personSearch,vehicleSearch,preRace,race,gender,lat,long,x,y,policePrecinct,neighborhood,lastUpdateDate
100000,18-344224,2018/10/13 00:30:19+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Male,44.94836,-93.29447,-10385492.6,5613394.707,5,Lowry Hill East,2018/10/13 08:20:40+00
100001,18-344230,2018/10/13 00:39:28+00,Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Latino,Male,44.98116889,-93.26678531,-10382411.05,5618557.4,1,Downtown West,2018/10/13 08:20:42+00
100002,18-344240,2018/10/13 00:46:46+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Asian,Male,44.993989,-93.26049965,-10381711.33,5620575.227,2,St. Anthony West,2018/10/13 08:20:42+00
100003,18-344257,2018/10/13 01:08:47+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Asian,Male,45.01266933,-93.25090187,-10380642.91,5623516.233,2,Holland,2018/10/13 08:20:42+00
100004,18-344268,2018/10/13 01:24:23+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,East African,Male,45.01253021,-93.28182889,-10384085.69,5623494.327,4,Hawthorne,2018/10/13 08:20:42+00
100005,18-344274,2018/10/13 01:30:33+00,Investigative,Suspicious Vehicle (P),ADV-Advised,NO,NO,NO,Black,Black,Male,44.99671332,-93.28913951,-10384899.51,5621004.08,4,Near - North,2018/10/13 08:20:38+00
100006,18-344279,2018/10/13 01:35:40+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Female,45.00401304,-93.28214895,-10384121.32,5622153.279,4,Hawthorne,2018/10/13 08:20:42+00
100007,18-344285,2018/10/13 01:41:11+00,Investigative,Suspicious Vehicle (P),SNT-Sent,NO,NO,NO,Black,Black,Male,45.01316196,-93.25276672,-10380850.51,5623593.806,2,Holland,2018/10/13 08:20:42+00
100008,18-344294,2018/10/13 01:50:12+00,Equipment Violation,Suspicious Vehicle (P),BKG-Booking,NO,YES,YES,Unknown,Other,Male,45.01403478,-93.29306645,-10385336.65,5623731.246,4,Folwell,2018/10/13 08:20:39+00
100009,18-344308,2018/10/13 01:59:44+00,Investigative,Suspicious Vehicle (P),SNT-Sent,NO,NO,NO,Unknown,Black,Female,44.96097759,-93.22758464,-10378047.25,5615380.297,3,Seward,2018/10/13 08:20:42+00
100010,18-344346,2018/10/13 02:21:29+00,,Suspicious Person (P),GOA-Gone on Arrival,,,,,,,44.94381988,-93.29450872,-10385497.2,5612681.408,5,CARAG,2018/10/13 08:20:39+00
100011,18-344353,2018/10/13 02:30:03+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,YES,Unknown,Black,Male,45.00025,-93.29259,-10385283.34,5621560.403,4,Hawthorne,2018/10/13 08:20:40+00
100012,18-344358,2018/10/13 02:33:04+00,Citizen / 9-1-1,Suspicious Person (P),GOA-Gone on Arrival,NO,NO,NO,Unknown,Unknown,Male,45.01230264,-93.23072689,-10378397.04,5623458.493,2,Windom Park,2018/10/13 08:20:37+00
100013,18-344359,2018/10/13 02:33:48+00,Investigative,Suspicious Person (P),BKG-Booking,NO,YES,NO,Unknown,White,Male,44.97998625,-93.27428374,-10383245.77,5618371.281,1,Downtown West,2018/10/13 08:20:42+00
100014,18-344361,2018/10/13 02:41:25+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,East African,Male,44.98786633,-93.22351787,-10377594.54,5619611.49,2,Como,2018/10/13 08:20:42+00
100015,18-344373,2018/10/13 02:57:59+00,Citizen / 9-1-1,Suspicious Vehicle (P),AOK- All OK,NO,NO,NO,Black,Black,Female,44.95017,-93.23157,-10378490.59,5613680.294,3,Longfellow,2018/10/13 08:20:40+00
100016,18-344374,2018/10/13 02:59:59+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Black,Male,45.006,-93.30441,-10386599.86,5622466.067,4,Jordan,2018/10/13 08:20:40+00
100017,18-344376,2018/10/13 03:03:01+00,Citizen / 9-1-1,Suspicious Vehicle (P),GOA-Gone on Arrival,NO,NO,NO,Unknown,Unknown,Unknown,44.95554,-93.24313,-10379778.26,5614525.443,3,Longfellow,2018/10/13 08:20:40+00
100018,18-344381,2018/10/13 03:08:25+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,YES,NO,Unknown,Black,Male,45.01497,-93.29685,-10385757.76,5623878.406,4,Folwell,2018/10/13 08:20:40+00
100019,18-344383,2018/10/13 03:13:04+00,Investigative,Suspicious Person (P),GOA-Gone on Arrival,NO,NO,NO,Black,Unknown,Male,45.02307959,-93.29562779,-10385621.78,5625155.628,4,Folwell,2018/10/13 08:20:40+00
100020,18-344389,2018/10/13 03:27:45+00,Citizen / 9-1-1,Suspicious Person (P),AOK- All OK,NO,NO,NO,Unknown,White,Male,44.98849162,-93.25673201,-10381291.92,5619709.909,2,Nicollet Island - East Bank,2018/10/13 08:20:40+00
100021,18-344391,2018/10/13 03:30:17+00,,Suspicious Vehicle (P),BKG-Booking,,,,,,,44.95734,-93.25624,-10381236.78,5614808.753,3,Midtown Phillips,2018/10/13 08:20:40+00
100022,18-344394,2018/10/13 03:34:34+00,Citizen / 9-1-1,Suspicious Vehicle (P),GOA-Gone on Arrival,NO,NO,NO,Unknown,Unknown,Unknown,44.9332565,-93.26627411,-10382354.14,5611020.202,3,Bryant,2018/10/13 08:20:40+00
100023,18-344408,2018/10/13 03:56:06+00,Citizen / 9-1-1,Suspicious Person (P),GOA-Gone on Arrival,NO,NO,NO,Black,Unknown,Unknown,44.89062727,-93.28192559,-10384096.46,5604319.392,5,Windom,2018/10/13 08:20:40+00
100024,18-344415,2018/10/13 04:06:49+00,Citizen / 9-1-1,Suspicious Person (P),TRN-Transport,NO,YES,NO,White,White,Male,44.98927981,-93.27912395,-10383784.58,5619833.97,1,North Loop,2018/10/13 08:20:39+00
100025,18-344422,2018/10/13 04:31:20+00,,Suspicious Vehicle (P),UTL-Unable to Locate,,,,,,,44.98039,-93.27599,-10383435.86,5618434.109,1,Downtown West,2018/10/13 08:20:40+00
100026,18-344429,2018/10/13 04:54:27+00,Citizen / 9-1-1,Suspicious Person (P),TAG-Tagged,YES,NO,NO,East African,East African,Male,44.97447173,-93.25115192,-10380670.75,5617503.478,1,Downtown East,2018/10/13 08:20:40+00
100027,18-344439,2018/10/13 05:40:52+00,Citizen / 9-1-1,Suspicious Person (P),GOA-Gone on Arrival,NO,NO,NO,Unknown,Unknown,Unknown,45.00313169,-93.28645058,-10384600.18,5622014.52,4,Hawthorne,2018/10/14 08:20:36+00
100028,18-344440,2018/10/13 05:43:12+00,Citizen / 9-1-1,Suspicious Vehicle (P),GOA-Gone on Arrival,NO,NO,NO,Unknown,Unknown,Unknown,44.94750962,-93.26647891,-10382376.94,5613261.733,3,Central,2018/10/14 08:20:36+00
100029,18-344448,2018/10/13 06:11:47+00,Investigative,Suspicious Person (P),AOK- All OK,NO,NO,NO,Black,Black,Male,45.0195041,-93.30064127,-10386179.88,5624592.531,4,Folwell,2018/10/14 08:20:35+00
100030,18-344458,2018/10/13 07:03:55+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,YES,Unknown,Latino,Male,0,0,0,0,,,2018/10/14 08:20:38+00
100031,18-344461,2018/10/13 07:14:29+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Black,Male,44.99913277,-93.28529706,-10384471.77,5621384.96,4,Hawthorne,2018/10/14 08:20:34+00
100032,18-344466,2018/10/13 07:21:31+00,Investigative,Traffic Law Enforcement (P),ADV-Advised,NO,YES,NO,Unknown,Black,Male,44.99913516,-93.28682309,-10384641.64,5621385.336,4,Near - North,2018/10/14 08:20:34+00
100033,18-344496,2018/10/13 08:41:48+00,Citizen / 9-1-1,Suspicious Vehicle (P),ADV-Advised,NO,NO,NO,White,White,Male,44.93051,-93.23593,-10378976.08,5610588.433,3,Standish,2018/10/14 08:20:36+00
100034,18-344497,2018/10/13 08:44:32+00,Citizen / 9-1-1,Suspicious Vehicle (P),AOK- All OK,NO,NO,NO,Unknown,White,Male,44.97289,-93.29474,-10385523.35,5617255.174,4,Lowry Hill,2018/10/14 08:20:36+00
100035,18-344508,2018/10/13 09:06:56+00,Citizen / 9-1-1,Suspicious Vehicle (P),ADV-Advised,NO,NO,NO,Unknown,Unknown,Female,44.94750688,-93.27157691,-10382944.45,5613261.301,3,Central,2018/10/14 08:20:35+00
100036,18-344513,2018/10/13 09:26:18+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Unknown,Male,45.0030963,-93.30702211,-10386890.19,5622008.949,4,Jordan,2018/10/14 08:20:34+00
100037,18-344515,2018/10/13 09:30:02+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Black,Male,44.99948,-93.30192,-10386322.1,5621440.347,4,Jordan,2018/10/14 08:20:36+00
100038,18-344518,2018/10/13 09:39:09+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Black,Black,Male,44.99916,-93.29564,-10385622.68,5621389.488,4,Near - North,2018/10/14 08:20:36+00
100039,18-344521,2018/10/13 09:43:43+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Black,Female,45.00025,-93.29259,-10385283.34,5621560.403,4,Hawthorne,2018/10/14 08:20:36+00
100040,18-344525,2018/10/13 09:49:34+00,Investigative,Suspicious Person (P),ADV-Advised,NO,YES,NO,Black,Black,Male,45.00023,-93.28799,-10384771.38,5621558.122,4,Hawthorne,2018/10/14 08:20:36+00
100041,18-344526,2018/10/13 09:51:15+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Female,44.98353229,-93.28254007,-10384164.86,5618929.354,1,North Loop,2018/10/14 08:20:37+00
100042,18-344560,2018/10/13 10:35:23+00,Citizen / 9-1-1,Suspicious Vehicle (P),GOA-Gone on Arrival,NO,NO,NO,Unknown,Unknown,Female,44.89894993,-93.2361999,-10379006.3,5605627.224,3,Wenonah,2018/10/14 08:20:36+00
100043,18-344583,2018/10/13 11:08:07+00,Investigative,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,White,White,Male,44.97758226,-93.2753473,-10383364.16,5617992.962,1,Downtown West,2018/10/14 08:20:37+00
100044,18-344595,2018/10/13 11:25:13+00,,Suspicious Person (P),GOA-Gone on Arrival,,,,,,,44.99787774,-93.31077222,-10387307.65,5621187.387,4,Willard - Hay,2018/10/14 08:20:35+00
100045,18-344631,2018/10/13 12:34:23+00,Investigative,Suspicious Person (P),ADV-Advised,NO,NO,NO,Black,Black,Male,44.9734,-93.27331,-10383137.14,5617335.254,1,Downtown West,2018/10/14 08:20:36+00
100046,18-344633,2018/10/13 12:43:12+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Black,Black,Male,44.96179589,-93.27274189,-10383074.13,5615509.035,5,Whittier,2018/10/14 08:20:37+00
100047,18-344644,2018/10/13 13:00:51+00,Citizen / 9-1-1,Suspicious Vehicle (P),GOA-Gone on Arrival,NO,NO,NO,Latino,Unknown,Male,44.9399085,-93.30218482,-10386351.7,5612066.265,5,ECCO,2018/10/14 08:20:35+00
100048,18-344650,2018/10/13 13:09:07+00,Citizen / 9-1-1,Suspicious Person (P),ADV-Advised,NO,NO,NO,Black,Other,Female,44.90055962,-93.28702171,-10384663.75,5605880.195,5,Windom,2018/10/14 08:20:35+00
100049,18-344651,2018/10/13 13:09:23+00,Citizen / 9-1-1,Suspicious Vehicle (P),GOA-Gone on Arrival,NO,NO,NO,Unknown,Unknown,Male,44.93320707,-93.24986796,-10380527.82,5611012.429,3,Bancroft,2018/10/14 08:20:36+00
100050,18-344656,2018/10/13 13:17:37+00,Citizen / 9-1-1,Suspicious Person (P),GOA-Gone on Arrival,NO,NO,NO,White,Unknown,Male,44.91519208,-93.2575123,-10381378.78,5608180.081,3,Northrop,2018/10/14 08:20:36+00
100051,18-344659,2018/10/13 13:21:49+00,Citizen / 9-1-1,Suspicious Person (P),UTL-Unable to Locate,NO,NO,NO,White,Unknown,Unknown,44.95822037,-93.28421282,-10384351.07,5614946.535,5,Whittier,2018/10/14 08:20:35+00
100052,18-344676,2018/10/13 13:48:50+00,Citizen / 9-1-1,Suspicious Vehicle (P),GOA-Gone on Arrival,NO,NO,NO,Unknown,Other,Unknown,44.93412,-93.22874,-10378175.57,5611156.716,3,Howe,2018/10/14 08:20:36+00
100053,18-344679,2018/10/13 13:54:34+00,Citizen / 9-1-1,Suspicious Vehicle (P),GOA-Gone on Arrival,NO,NO,NO,Unknown,Unknown,Unknown,45.02851945,-93.2460553,-10380103.39,5626012.408,2,Waite Park,2018/10/14 08:20:34+00
100054,18-344723,2018/10/13 14:44:08+00,Investigative,Suspicious Person (P),TAG-Tagged,YES,NO,NO,Black,Black,Male,44.99914,-93.28799,-10384771.51,5621385.814,4,Hawthorne,2018/10/14 08:20:36+00
100055,18-344749,2018/10/13 15:21:31+00,Investigative,Attempt Pick-Up (P),UTL-Unable to Locate,NO,NO,NO,Black,Black,Male,45.00240288,-93.30066536,-10386182.56,5621899.779,4,Jordan,2018/10/14 08:20:36+00
100056,18-344759,2018/10/13 15:33:59+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,White,White,Female,44.9483555,-93.27730268,-10383581.84,5613394.777,5,Lyndale,2018/10/14 08:20:37+00
100057,18-344764,2018/10/13 15:39:55+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,White,Male,44.95036946,-93.27488896,-10383313.14,5613711.554,5,Whittier,2018/10/14 08:20:37+00
100058,18-344766,2018/10/13 15:42:11+00,Citizen / 9-1-1,Traffic Law Enforcement (P),BKG-Booking,NO,YES,YES,Unknown,Black,Female,45.02393,-93.28806,-10384779.62,5625289.444,4,McKinley,2018/10/14 08:20:36+00
100059,18-344788,2018/10/13 16:10:13+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Black,Female,45.01767585,-93.24740756,-10380253.93,5624304.617,2,Audubon Park,2018/10/14 08:20:37+00
100060,18-344831,2018/10/13 16:51:13+00,Investigative,Suspicious Person (P),BKG-Booking,NO,YES,NO,Native American,Native American,Female,44.95006,-93.2563,-10381244.03,5613663.222,3,Midtown Phillips,2018/10/14 08:20:36+00
100061,18-344860,2018/10/13 17:26:14+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Black,Male,44.94836,-93.27792,-10383651.08,5613394.929,5,Lyndale,2018/10/14 08:20:36+00
100062,18-344868,2018/10/13 17:32:49+00,Investigative,Suspicious Person (P),SNT-Sent,NO,NO,NO,Unknown,Black,Male,44.99740614,-93.289522,-10384942.09,5621113.145,4,Near - North,2018/10/14 08:20:37+00
100063,18-344894,2018/10/13 18:08:55+00,Equipment Violation,Suspicious Vehicle (P),RPT-Report,NO,YES,YES,Unknown,White,Female,45.01143,-93.30697,-10386883.86,5623320.806,4,Jordan,2018/10/14 08:20:36+00
100064,18-344906,2018/10/13 18:19:58+00,Citizen / 9-1-1,Suspicious Vehicle (P),GOA-Gone on Arrival,NO,NO,NO,Unknown,Unknown,Unknown,45.00024,-93.28494,-10384432.17,5621559.093,4,Hawthorne,2018/10/14 08:20:36+00
100065,18-344910,2018/10/13 18:22:15+00,Investigative,Suspicious Person (P),GOA-Gone on Arrival,NO,NO,NO,Unknown,Unknown,Unknown,45.01318,-93.24097,-10379536.78,5623596.264,2,Audubon Park,2018/10/14 08:20:36+00
100066,18-344911,2018/10/13 18:25:28+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Black,Male,44.95373,-93.2766,-10383503.06,5614240.869,5,Whittier,2018/10/14 08:20:36+00
100067,18-344921,2018/10/13 18:41:54+00,Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,NO,NO,NO,Unknown,Black,Female,45.01266233,-93.26618596,-10382344.33,5623515.131,2,Bottineau,2018/10/14 08:20:37+00
100068,18-344936,2018/10/13 18:54:29+00,Investigative,Traffic Law Enforcement (P),ADV-Advised,NO,YES,YES,Native American,Native American,Female,44.95599844,-93.24735604,-10380248.19,5614596.999,3,East Phillips,2018/10/14 08:20:37+00
100069,18-344939,2018/10/13 18:55:57+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,White,Female,45.00593,-93.28952,-10384941.63,5622454.322,4,Hawthorne,2018/10/14 08:20:36+00
100070,18-344961,2018/10/13 19:18:14+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Black,Female,44.99522,-93.30445,-10386604.03,5620768.33,4,Willard - Hay,2018/10/14 08:20:36+00
100071,18-344970,2018/10/13 19:28:52+00,Moving Violation,Traffic Law Enforcement (P),BKG-Booking,NO,YES,YES,Unknown,Black,Male,44.99521,-93.29942,-10386044.16,5620766.697,4,Near - North,2018/10/14 08:20:36+00
100072,18-344978,2018/10/13 19:33:44+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,East African,Male,44.95075,-93.28133,-10384030.68,5613770.893,5,Whittier,2018/10/14 08:20:36+00
100073,18-344991,2018/10/13 19:42:09+00,Citizen / 9-1-1,Suspicious Vehicle (P),AOK- All OK,NO,NO,NO,Unknown,Unknown,Unknown,45.04661758,-93.29019047,-10385016.5,5628863.459,4,Lind - Bohanon,2018/10/14 08:20:35+00
100074,18-345000,2018/10/13 19:49:13+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Black,Male,44.94836,-93.27792,-10383651.08,5613394.929,5,Lyndale,2018/10/14 08:20:36+00
100075,18-345028,2018/10/13 20:18:02+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Latino,Male,45.0015,-93.29411,-10385452.9,5621758.267,4,Hawthorne,2018/10/14 08:20:36+00
100076,18-345030,2018/10/13 20:20:07+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,East African,Male,44.93049,-93.27921,-10383794.53,5610585.638,5,King Field,2018/10/14 08:20:36+00
100077,18-345071,2018/10/13 20:56:01+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,White,Female,44.94837,-93.30211,-10386343.79,5613396.527,5,ECCO,2018/10/14 08:20:36+00
100078,18-345076,2018/10/13 20:58:46+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Other,Male,0,0,0,0,,,2018/10/14 08:20:38+00
100079,18-345089,2018/10/13 21:11:41+00,Investigative,Suspicious Vehicle (P),ADV-Advised,NO,NO,NO,Unknown,Unknown,Unknown,44.94955167,-93.28134598,-10384031.94,5613582.923,5,Whittier,2018/10/14 08:20:37+00
100080,18-345091,2018/10/13 21:15:11+00,,Traffic Law Enforcement (P),ADV-Advised,,,,,,,44.94926,-93.3021,-10386342.64,5613537.495,5,East Isles,2018/10/14 08:20:36+00
100081,18-345097,2018/10/13 21:19:08+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,East African,Male,44.95286437,-93.29798519,-10385884.2,5614103.996,5,Lowry Hill East,2018/10/14 08:20:37+00
100082,18-345105,2018/10/13 21:24:00+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Asian,Male,45.03744,-93.31215,-10387460.77,5627417.874,4,Victory,2018/10/14 08:20:36+00
100083,18-345109,2018/10/13 21:30:47+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Black,Male,44.99198012,-93.2948836,-10385538.94,5620259.009,4,Near - North,2018/10/14 08:20:35+00
100084,18-345113,2018/10/13 21:32:44+00,Citizen / 9-1-1,Suspicious Person (P),SNT-Sent,NO,NO,NO,White,White,Male,44.97918668,-93.27310907,-10383115.01,5618245.449,1,Downtown West,2018/10/14 08:20:37+00
100085,18-345114,2018/10/13 21:34:39+00,Citizen / 9-1-1,Suspicious Person (P),GOA-Gone on Arrival,NO,NO,NO,Black,Unknown,Male,44.92423297,-93.24857815,-10380384.24,5609601.395,3,Northrop,2018/10/14 08:20:35+00
100086,18-345115,2018/10/13 21:35:35+00,Investigative,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,East African,East African,Male,44.94044075,-93.27791575,-10383650.08,5612149.969,5,Lyndale,2018/10/14 08:20:37+00
100087,18-345129,2018/10/13 21:47:30+00,Citizen / 9-1-1,Suspicious Person (P),ADV-Advised,NO,NO,NO,Black,Black,Male,44.98044364,-93.26191627,-10381869.03,5618443.262,1,Downtown West,2018/10/14 08:20:36+00
100088,18-345131,2018/10/13 21:48:25+00,Investigative,Traffic Law Enforcement (P),BKG-Booking,YES,YES,YES,Unknown,Black,Male,45.01052688,-93.30696213,-10386883.51,5623178.881,4,Jordan,2018/10/14 08:20:36+00
100089,18-345138,2018/10/13 21:55:12+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,White,Male,0,0,0,0,,,2018/10/14 08:20:38+00
100090,18-345140,2018/10/13 21:55:52+00,Citizen / 9-1-1,Suspicious Person (P),GOA-Gone on Arrival,NO,NO,NO,Unknown,Unknown,Unknown,44.92422538,-93.24985904,-10380526.83,5609600.201,3,Northrop,2018/10/14 08:20:35+00
100091,18-345141,2018/10/13 21:56:37+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,YES,YES,Unknown,Black,Female,44.96395,-93.27658,-10383501.41,5615848.68,5,Steven's Square - Loring Heights,2018/10/14 08:20:36+00
100092,18-345145,2018/10/13 21:58:16+00,Citizen / 9-1-1,Suspicious Vehicle (P),UNF-Unfounded,NO,NO,NO,Unknown,Unknown,Unknown,45.01406161,-93.2968501,-10385757.85,5623735.47,4,Folwell,2018/10/14 08:20:35+00
100093,18-345154,2018/10/13 22:04:46+00,Investigative,Traffic Law Enforcement (P),ADV-Advised,NO,YES,YES,Black,Black,Male,45.0048,-93.28799,-10384771.68,5622276.745,4,Hawthorne,2018/10/14 08:20:36+00
100094,18-345164,2018/10/13 22:15:11+00,,Suspicious Person (P),SNT-Sent,,,,,,,44.94891146,-93.29367343,-10385404.22,5613482.224,5,Lowry Hill East,2018/10/14 08:20:36+00
100095,18-345175,2018/10/13 22:21:11+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,East African,Male,44.99113,-93.27941,-10383816.55,5620124.463,1,North Loop,2018/10/14 08:20:36+00
100096,18-345182,2018/10/13 22:31:25+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Black,Male,45.01673,-93.29307,-10385337,5624155.267,4,McKinley,2018/10/14 08:20:36+00
100097,18-345184,2018/10/13 22:32:29+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Male,44.98371,-93.27133,-10382917.2,5618957.382,1,North Loop,2018/10/14 08:20:36+00
100098,18-345185,2018/10/13 22:33:57+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Black,Male,45.00149,-93.28952,-10384941.84,5621755.49,4,Hawthorne,2018/10/14 08:20:36+00
100099,18-345189,2018/10/13 22:37:49+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Black,Male,45.0131,-93.28928,-10384915.17,5623584.11,4,McKinley,2018/10/14 08:20:36+00
100100,18-345190,2018/10/13 22:38:49+00,Equipment Violation,Suspicious Vehicle (P),ADV-Advised,NO,NO,NO,Unknown,Black,Male,44.96772,-93.27781,-10383638.54,5616440.919,1,Loring Park,2018/10/14 08:20:36+00
100101,18-345194,2018/10/13 22:44:22+00,Investigative,Suspicious Vehicle (P),ADV-Advised,NO,NO,NO,Unknown,Latino,Male,44.95284261,-93.27965923,-10383844.17,5614100.573,5,Whittier,2018/10/14 08:20:37+00
100102,18-345197,2018/10/13 22:47:27+00,Citizen / 9-1-1,Suspicious Vehicle (P),UTL-Unable to Locate,NO,NO,NO,Unknown,Unknown,Unknown,44.94839,-93.30496,-10386660.17,5613400.248,5,East Isles,2018/10/14 08:20:36+00
100103,18-345212,2018/10/13 22:59:41+00,Citizen / 9-1-1,Suspicious Person (P),ADV-Advised,NO,NO,NO,Unknown,White,Female,44.97801709,-93.29162598,-10385176.3,5618061.391,4,Harrison,2018/10/14 08:20:35+00
100104,18-345215,2018/10/13 23:01:40+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Latino,Male,45.00411164,-93.24735181,-10380247.72,5622168.802,2,Logan Park,2018/10/14 08:20:37+00
100105,18-345217,2018/10/13 23:03:43+00,,Traffic Law Enforcement (P),ADV-Advised,,,,,,,44.98287,-93.27252,-10383049.63,5618825.084,1,Downtown West,2018/10/14 08:20:36+00
100106,18-345222,2018/10/13 23:06:20+00,Citizen / 9-1-1,Suspicious Vehicle (P),ADV-Advised,NO,NO,NO,Unknown,Unknown,Unknown,44.97308385,-93.24771902,-10380288.6,5617285.083,1,Cedar Riverside,2018/10/14 08:20:36+00
100107,18-345234,2018/10/13 23:17:48+00,,Suspicious Vehicle (P),TAG-Tagged,,,,,,,44.93682774,-93.27791461,-10383649.96,5611581.784,5,King Field,2018/10/14 08:20:37+00
100108,18-345237,2018/10/13 23:22:54+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,East African,Male,0,0,0,0,,,2018/10/14 08:20:38+00
100109,18-345252,2018/10/13 23:46:55+00,Citizen / 9-1-1,Suspicious Person (P),SNT-Sent,NO,NO,NO,White,White,Male,0,0,0,0,,,2018/10/14 08:20:38+00
100110,18-345258,2018/10/13 23:55:16+00,Citizen / 9-1-1,Suspicious Person (P),GOA-Gone on Arrival,NO,NO,NO,White,Unknown,Female,44.98000905,-93.23617077,-10379003.05,5618374.869,2,Marcy Holmes,2018/10/14 08:20:35+00
100111,18-345264,2018/10/14 00:06:12+00,Citizen / 9-1-1,Suspicious Person (P),GOA-Gone on Arrival,NO,NO,NO,White,Unknown,Male,44.96638989,-93.21681021,-10376847.85,5616231.813,2,Prospect Park - East River Road,2018/10/14 08:20:36+00
100112,18-345269,2018/10/14 00:09:37+00,Investigative,Suspicious Vehicle (P),ADV-Advised,NO,NO,NO,Unknown,East African,Male,44.97059597,-93.24981203,-10380521.59,5616893.61,1,Cedar Riverside,2018/10/14 08:20:35+00
100113,18-345271,2018/10/14 00:11:50+00,Citizen / 9-1-1,Suspicious Person (P),TRN-Transport,NO,NO,NO,Black,Black,Male,44.97153914,-93.27673789,-10383518.97,5617042.018,1,Loring Park,2018/10/14 08:20:37+00
100114,18-345278,2018/10/14 00:16:44+00,Citizen / 9-1-1,Suspicious Person (P),GOA-Gone on Arrival,NO,NO,NO,Unknown,Unknown,Unknown,44.96091,-93.28675,-10384633.12,5615370.025,5,Whittier,2018/10/14 08:20:36+00
100115,18-345283,2018/10/14 00:18:44+00,Moving Violation,Traffic Law Enforcement (P),BKG-Booking,NO,YES,NO,Unknown,Black,Female,45.03151,-93.28937,-10384924.83,5626483.35,4,Webber - Camden,2018/10/14 08:20:36+00
